Date;Region;Value
2016-01-31;Russia;55428
2016-01-31;Republic of Adygea;37643
2016-01-31;Altai Republic;45255
2016-01-31;Altai Krai;39623
2016-01-31;Amur Oblast;53336
2016-01-31;Arkhangelsk Oblast;53725
2016-01-31;Astrakhan Oblast;43043
2016-01-31;Belgorod Oblast;44812
2016-01-31;Bryansk Oblast;35526
2016-01-31;Vladimir Oblast;40846
2016-01-31;Volgograd Oblast;40467
2016-01-31;Vologda Oblast;40256
2016-01-31;Voronezh Oblast;44415
2016-01-31;Jewish Autonomous Oblast;41245
2016-01-31;Zabaykalsky Krai;47468
2016-01-31;Ivanovo Oblast;40341
2016-01-31;Irkutsk Oblast;43421
2016-01-31;Kabardino-Balkarian Republic;36191
2016-01-31;Kaliningrad Oblast;46912
2016-01-31;Kaluga Oblast;53909
2016-01-31;Kamchatka Krai;60906
2016-01-31;Kemerovo Oblast;36382
2016-01-31;Kirov Oblast;42427
2016-01-31;Kostroma Oblast;40721
2016-01-31;Krasnodar Krai;53461
2016-01-31;Krasnoyarsk Krai;45012
2016-01-31;Kurgan Oblast;37102
2016-01-31;Kursk Oblast;36132
2016-01-31;Leningrad Oblast;68298
2016-01-31;Lipetsk Oblast;39798
2016-01-31;Magadan Oblast;51886
2016-01-31;Republic of Mordovia;44720
2016-01-31;Moscow;160356
2016-01-31;Moscow Oblast;79717
2016-01-31;Murmansk Oblast;43077
2016-01-31;Nenets Autonomous Okrug;80328
2016-01-31;Nizhny Novgorod Oblast;51529
2016-01-31;Novgorod Oblast;41918
2016-01-31;Novosibirsk Oblast;53048
2016-01-31;Omsk Oblast;42037
2016-01-31;Orenburg Oblast;36270
2016-01-31;Oryol Oblast;37477
2016-01-31;Penza Oblast;42453
2016-01-31;Perm Krai;44344
2016-01-31;Primorsky Krai;69884
2016-01-31;Pskov Oblast;37697
2016-01-31;Republic of Bashkortostan;47547
2016-01-31;Republic of Buryatia;45421
2016-01-31;Republic of Dagestan;35422
2016-01-31;Republic of Ingushetia;26699
2016-01-31;Republic of Kalmykia;34364
2016-01-31;Karachay-Cherkess Republic;42010
2016-01-31;Republic of Karelia;45200
2016-01-31;Komi Republic;54836
2016-01-31;Mari El Republic;39793
2016-01-31;Republic of Sakha (Yakutia);74136
2016-01-31;Republic of Tatarstan;50056
2016-01-31;Republic of Tuva;53464
2016-01-31;Republic of Khakassia;40107
2016-01-31;Rostov Oblast;48916
2016-01-31;Ryazan Oblast;44666
2016-01-31;Samara Oblast;48004
2016-01-31;City of Saint Petersburg;90129
2016-01-31;Saratov Oblast;37702
2016-01-31;Sakhalin Oblast;79156
2016-01-31;Sverdlovsk Oblast;53251
2016-01-31;Smolensk Oblast;38786
2016-01-31;Stavropol Krai;36281
2016-01-31;Tambov Oblast;38661
2016-01-31;Tver Oblast;48619
2016-01-31;Tomsk Oblast;47646
2016-01-31;Tula Oblast;44134
2016-01-31;Tyumen Oblast;53171
2016-01-31;Udmurt Republic;43632
2016-01-31;Ulyanovsk Oblast;37566
2016-01-31;Khabarovsk Krai;56279
2016-01-31;Khanty-Mansi Autonomous Okrug–Yugra;59601
2016-01-31;Chelyabinsk Oblast;37807
2016-01-31;Chechen Republic;34226
2016-01-31;Chuvash Republic — Chuvashia;43421
2016-01-31;Chukotka Autonomous Okrug;59177
2016-01-31;Yamalo-Nenets Autonomous Okrug;68027
2016-01-31;Yaroslavl Oblast;43941
2016-02-29;Russia;55068
2016-02-29;Republic of Adygea;38395
2016-02-29;Altai Republic;44597
2016-02-29;Altai Krai;39869
2016-02-29;Amur Oblast;52918
2016-02-29;Arkhangelsk Oblast;53088
2016-02-29;Astrakhan Oblast;42768
2016-02-29;Belgorod Oblast;45056
2016-02-29;Bryansk Oblast;35612
2016-02-29;Vladimir Oblast;41079
2016-02-29;Volgograd Oblast;40340
2016-02-29;Vologda Oblast;40197
2016-02-29;Voronezh Oblast;43930
2016-02-29;Jewish Autonomous Oblast;41286
2016-02-29;Zabaykalsky Krai;47433
2016-02-29;Ivanovo Oblast;40726
2016-02-29;Irkutsk Oblast;43401
2016-02-29;Kabardino-Balkarian Republic;35934
2016-02-29;Kaliningrad Oblast;46387
2016-02-29;Kaluga Oblast;53686
2016-02-29;Kamchatka Krai;59917
2016-02-29;Kemerovo Oblast;36106
2016-02-29;Kirov Oblast;41661
2016-02-29;Kostroma Oblast;40089
2016-02-29;Krasnodar Krai;52773
2016-02-29;Krasnoyarsk Krai;44963
2016-02-29;Kurgan Oblast;37572
2016-02-29;Kursk Oblast;36160
2016-02-29;Leningrad Oblast;68682
2016-02-29;Lipetsk Oblast;39503
2016-02-29;Magadan Oblast;52263
2016-02-29;Republic of Mordovia;44637
2016-02-29;Moscow;157220
2016-02-29;Moscow Oblast;79348
2016-02-29;Murmansk Oblast;42420
2016-02-29;Nenets Autonomous Okrug;81401
2016-02-29;Nizhny Novgorod Oblast;50872
2016-02-29;Novgorod Oblast;41359
2016-02-29;Novosibirsk Oblast;52794
2016-02-29;Omsk Oblast;41955
2016-02-29;Orenburg Oblast;36245
2016-02-29;Oryol Oblast;37930
2016-02-29;Penza Oblast;41816
2016-02-29;Perm Krai;43933
2016-02-29;Primorsky Krai;67964
2016-02-29;Pskov Oblast;37376
2016-02-29;Republic of Bashkortostan;47431
2016-02-29;Republic of Buryatia;44992
2016-02-29;Republic of Dagestan;35333
2016-02-29;Republic of Ingushetia;26699
2016-02-29;Republic of Kalmykia;35129
2016-02-29;Karachay-Cherkess Republic;40710
2016-02-29;Republic of Karelia;45291
2016-02-29;Komi Republic;55088
2016-02-29;Mari El Republic;39698
2016-02-29;Republic of Sakha (Yakutia);74574
2016-02-29;Republic of Tatarstan;50242
2016-02-29;Republic of Tuva;52875
