Date;Region;Value
2016-01-31;Russia;60089
2016-01-31;Republic of Adygea;35003
2016-01-31;Altai Republic;41916
2016-01-31;Altai Krai;38780
2016-01-31;Amur Oblast;55887
2016-01-31;Arkhangelsk Oblast;59732
2016-01-31;Astrakhan Oblast;43070
2016-01-31;Belgorod Oblast;49258
2016-01-31;Bryansk Oblast;33032
2016-01-31;Vladimir Oblast;36233
2016-01-31;Volgograd Oblast;40692
2016-01-31;Vologda Oblast;41587
2016-01-31;Voronezh Oblast;43643
2016-01-31;Zabaykalsky Krai;49890
2016-01-31;Ivanovo Oblast;39545
2016-01-31;Irkutsk Oblast;46377
2016-01-31;Kabardino-Balkarian Republic;30653
2016-01-31;Kaliningrad Oblast;44599
2016-01-31;Kaluga Oblast;48551
2016-01-31;Kemerovo Oblast;41087
2016-01-31;Kirov Oblast;37720
2016-01-31;Kostroma Oblast;37845
2016-01-31;Krasnodar Krai;44451
2016-01-31;Krasnoyarsk Krai;50814
2016-01-31;Kurgan Oblast;42424
2016-01-31;Kursk Oblast;40057
2016-01-31;Leningrad Oblast;69538
2016-01-31;Lipetsk Oblast;36093
2016-01-31;Republic of Mordovia;42116
2016-01-31;Moscow;118687
2016-01-31;Moscow Oblast;78987
2016-01-31;Nizhny Novgorod Oblast;61840
2016-01-31;Novgorod Oblast;42923
2016-01-31;Novosibirsk Oblast;53472
2016-01-31;Omsk Oblast;42381
2016-01-31;Orenburg Oblast;37224
2016-01-31;Oryol Oblast;39773
2016-01-31;Penza Oblast;41747
2016-01-31;Perm Krai;48901
2016-01-31;Primorsky Krai;54793
2016-01-31;Pskov Oblast;40974
2016-01-31;Republic of Bashkortostan;50224
2016-01-31;Republic of Buryatia;38383
2016-01-31;Republic of Dagestan;31512
2016-01-31;Republic of Kalmykia;32359
2016-01-31;Republic of Karelia;47857
2016-01-31;Komi Republic;54405
2016-01-31;Mari El Republic;39012
2016-01-31;Republic of Sakha (Yakutia);73233
2016-01-31;Republic of Tatarstan;53110
2016-01-31;Republic of Tuva;90540
2016-01-31;Republic of Khakassia;42061
2016-01-31;Rostov Oblast;46371
2016-01-31;Ryazan Oblast;38007
2016-01-31;Samara Oblast;45176
2016-01-31;City of Saint Petersburg;82734
2016-01-31;Saratov Oblast;33137
2016-01-31;Sakhalin Oblast;76786
2016-01-31;Sverdlovsk Oblast;65743
2016-01-31;Smolensk Oblast;38177
2016-01-31;Stavropol Krai;33593
2016-01-31;Tambov Oblast;36723
2016-01-31;Tver Oblast;44632
2016-01-31;Tomsk Oblast;47281
2016-01-31;Tula Oblast;45247
2016-01-31;Tyumen Oblast;55556
2016-01-31;Udmurt Republic;44708
2016-01-31;Ulyanovsk Oblast;36023
2016-01-31;Khabarovsk Krai;57317
2016-01-31;Khanty-Mansi Autonomous Okrug–Yugra;61012
2016-01-31;Chelyabinsk Oblast;40738
2016-01-31;Chuvash Republic — Chuvashia;40529
2016-01-31;Yamalo-Nenets Autonomous Okrug;80681
2016-01-31;Yaroslavl Oblast;46288
2016-02-29;Russia;59885
2016-02-29;Republic of Adygea;34982
2016-02-29;Altai Republic;42367
2016-02-29;Altai Krai;38784
2016-02-29;Amur Oblast;56075
2016-02-29;Arkhangelsk Oblast;61098
2016-02-29;Astrakhan Oblast;42657
2016-02-29;Belgorod Oblast;49380
2016-02-29;Bryansk Oblast;33025
2016-02-29;Vladimir Oblast;36287
2016-02-29;Volgograd Oblast;39977
2016-02-29;Vologda Oblast;41202
2016-02-29;Voronezh Oblast;43393
2016-02-29;Zabaykalsky Krai;49512
2016-02-29;Ivanovo Oblast;39708
2016-02-29;Irkutsk Oblast;46593
2016-02-29;Kabardino-Balkarian Republic;31599
2016-02-29;Kaliningrad Oblast;44984
2016-02-29;Kaluga Oblast;47135
2016-02-29;Kemerovo Oblast;40856
2016-02-29;Kirov Oblast;37718
2016-02-29;Kostroma Oblast;36352
2016-02-29;Krasnodar Krai;44552
2016-02-29;Krasnoyarsk Krai;49841
2016-02-29;Kurgan Oblast;42640
2016-02-29;Kursk Oblast;38713
2016-02-29;Leningrad Oblast;69511
2016-02-29;Lipetsk Oblast;35875
2016-02-29;Republic of Mordovia;41880
2016-02-29;Moscow;117810
2016-02-29;Moscow Oblast;78450
2016-02-29;Nizhny Novgorod Oblast;61537
2016-02-29;Novgorod Oblast;42386
2016-02-29;Novosibirsk Oblast;53700
2016-02-29;Omsk Oblast;42408
2016-02-29;Orenburg Oblast;37209
2016-02-29;Oryol Oblast;40209
2016-02-29;Penza Oblast;41438
2016-02-29;Perm Krai;48864
2016-02-29;Primorsky Krai;54721
2016-02-29;Pskov Oblast;40696
2016-02-29;Republic of Bashkortostan;50533
2016-02-29;Republic of Buryatia;38948
2016-02-29;Republic of Dagestan;31512
2016-02-29;Republic of Kalmykia;32347
2016-02-29;Republic of Karelia;49474
2016-02-29;Komi Republic;54388
2016-02-29;Mari El Republic;38977
2016-02-29;Republic of Sakha (Yakutia);73377
2016-02-29;Republic of Tatarstan;52895
2016-02-29;Republic of Tuva;90540
2016-02-29;Republic of Khakassia;41629
2016-02-29;Rostov Oblast;46028
2016-02-29;Ryazan Oblast;38474
2016-02-29;Samara Oblast;45255
2016-02-29;City of Saint Petersburg;83106
2016-02-29;Saratov Oblast;32834
2016-02-29;Sakhalin Oblast;75092
2016-02-29;Sverdlovsk Oblast;64129
2016-02-29;Smolensk Oblast;38314
2016-02-29;Stavropol Krai;34161
2016-02-29;Tambov Oblast;36435
2016-02-29;Tver Oblast;44615
2016-02-29;Tomsk Oblast;45153
2016-02-29;Tula Oblast;46477
2016-02-29;Tyumen Oblast;56182
2016-02-29;Udmurt Republic;44486
2016-02-29;Ulyanovsk Oblast;35811
2016-02-29;Khabarovsk Krai;57846
2016-02-29;Khanty-Mansi Autonomous Okrug–Yugra;60853
2016-02-29;Chelyabinsk Oblast;39518
2016-02-29;Chuvash Republic — Chuvashia;40000
2016-02-29;Yamalo-Nenets Autonomous Okrug;80157
2016-02-29;Yaroslavl Oblast;46282
2016-03-31;Russia;59574
2016-03-31;Republic of Adygea;34958
2016-03-31;Altai Republic;42741
2016-03-31;Altai Krai;38971
2016-03-31;Amur Oblast;56401
2016-03-31;Arkhangelsk Oblast;61242
2016-03-31;Astrakhan Oblast;42513
2016-03-31;Belgorod Oblast;50012
2016-03-31;Bryansk Oblast;32949
2016-03-31;Vladimir Oblast;36170
2016-03-31;Volgograd Oblast;39806
2016-03-31;Vologda Oblast;40841
2016-03-31;Voronezh Oblast;42947
2016-03-31;Zabaykalsky Krai;49498
2016-03-31;Ivanovo Oblast;40265
2016-03-31;Irkutsk Oblast;46602
2016-03-31;Kabardino-Balkarian Republic;32966
2016-03-31;Kaliningrad Oblast;45566
2016-03-31;Kaluga Oblast;45931
2016-03-31;Kemerovo Oblast;40563
2016-03-31;Kirov Oblast;37258
2016-03-31;Kostroma Oblast;35728
2016-03-31;Krasnodar Krai;44522
2016-03-31;Krasnoyarsk Krai;49651
2016-03-31;Kurgan Oblast;42681
2016-03-31;Kursk Oblast;37171
2016-03-31;Leningrad Oblast;68809
2016-03-31;Lipetsk Oblast;35893
2016-03-31;Republic of Mordovia;42169
2016-03-31;Moscow;116584
2016-03-31;Moscow Oblast;77934
2016-03-31;Nizhny Novgorod Oblast;61294
2016-03-31;Novgorod Oblast;41067
2016-03-31;Novosibirsk Oblast;53233
2016-03-31;Omsk Oblast;43162
2016-03-31;Orenburg Oblast;36990
2016-03-31;Oryol Oblast;39835
2016-03-31;Penza Oblast;41511
