Date;Region;Value
2019-01-01;Russia;79920
2019-01-01;Republic of Adygea;37453
2019-01-01;Altai Republic;0
2019-01-01;Altai Krai;45008
2019-01-01;Amur Oblast;0
2019-01-01;Arkhangelsk Oblast;82639
2019-01-01;Astrakhan Oblast;65801
2019-01-01;Belgorod Oblast;50656
2019-01-01;Bryansk Oblast;35664
2019-01-01;Vladimir Oblast;42764
2019-01-01;Volgograd Oblast;49032
2019-01-01;Voronezh Oblast;48929
2019-01-01;Ivanovo Oblast;34500
2019-01-01;Irkutsk Oblast;56746
2019-01-01;Kaluga Oblast;60800
2019-01-01;Kemerovo Oblast;39910
2019-01-01;Kirov Oblast;38000
2019-01-01;Krasnodar Krai;54274
2019-01-01;Krasnoyarsk Krai;66000
2019-01-01;Leningrad Oblast;83994
2019-01-01;Lipetsk Oblast;67077
2019-01-01;Republic of Mordovia;44826
2019-01-01;Moscow;200763
2019-01-01;Moscow Oblast;100565
2019-01-01;Nizhny Novgorod Oblast;56600
2019-01-01;Novosibirsk Oblast;71810
2019-01-01;Orenburg Oblast;30099
2019-01-01;Oryol Oblast;37850
2019-01-01;Penza Oblast;54500
2019-01-01;Perm Krai;51675
2019-01-01;Primorsky Krai;94386
2019-01-01;Republic of Bashkortostan;67808
2019-01-01;Republic of Dagestan;0
2019-01-01;Republic of Sakha (Yakutia);73967
2019-01-01;Republic of North Ossetia–Alania;0
2019-01-01;Republic of Tatarstan;54850
2019-01-01;Republic of Khakassia;65000
2019-01-01;Rostov Oblast;46985
2019-01-01;Ryazan Oblast;43849
2019-01-01;Samara Oblast;53462
2019-01-01;City of Saint Petersburg;133484
2019-01-01;Saratov Oblast;39291
2019-01-01;Sakhalin Oblast;149555
2019-01-01;Sverdlovsk Oblast;73583
2019-01-01;Smolensk Oblast;41447
2019-01-01;Stavropol Krai;37245
2019-01-01;Tver Oblast;45565
2019-01-01;Tomsk Oblast;0
2019-01-01;Tula Oblast;59312
2019-01-01;Tyumen Oblast;69199
2019-01-01;Udmurt Republic;58219
2019-01-01;Ulyanovsk Oblast;35391
2019-01-01;Chelyabinsk Oblast;45438
2019-01-01;Chuvash Republic — Chuvashia;44331
2019-01-01;Yaroslavl Oblast;39931
2019-02-01;Russia;75467
2019-02-01;Republic of Adygea;41993
2019-02-01;Altai Republic;0
2019-02-01;Altai Krai;46255
2019-02-01;Amur Oblast;0
2019-02-01;Arkhangelsk Oblast;77585
2019-02-01;Astrakhan Oblast;58479
2019-02-01;Belgorod Oblast;49001
2019-02-01;Bryansk Oblast;35424
2019-02-01;Vladimir Oblast;40121
2019-02-01;Volgograd Oblast;44496
2019-02-01;Volgograd Oblast;45500
2019-02-01;Voronezh Oblast;49716
2019-02-01;Ivanovo Oblast;35000
2019-02-01;Irkutsk Oblast;67448
2019-02-01;Kaliningrad Oblast;44673
2019-02-01;Kaluga Oblast;62262
2019-02-01;Kemerovo Oblast;40392
2019-02-01;Kirov Oblast;45000
2019-02-01;Krasnodar Krai;54581
2019-02-01;Krasnoyarsk Krai;69461
2019-02-01;Leningrad Oblast;90530
2019-02-01;Lipetsk Oblast;42000
2019-02-01;Republic of Mordovia;50325
2019-02-01;Moscow;204000
2019-02-01;Moscow Oblast;103091
2019-02-01;Nizhny Novgorod Oblast;41500
2019-02-01;Novgorod Oblast;49560
2019-02-01;Novosibirsk Oblast;70250
2019-02-01;Oryol Oblast;37800
2019-02-01;Perm Krai;51928
2019-02-01;Primorsky Krai;110244
2019-02-01;Republic of Bashkortostan;67700
2019-02-01;Republic of Dagestan;0
2019-02-01;Republic of Karelia;51865
2019-02-01;Komi Republic;51166
2019-02-01;Mari El Republic;39600
2019-02-01;Republic of Sakha (Yakutia);74333
2019-02-01;Republic of North Ossetia–Alania;0
2019-02-01;Republic of Tatarstan;69446
2019-02-01;Rostov Oblast;52025
2019-02-01;Ryazan Oblast;44638
2019-02-01;Samara Oblast;44453
2019-02-01;City of Saint Petersburg;130833
2019-02-01;Saratov Oblast;34597
2019-02-01;Sakhalin Oblast;0
2019-02-01;Sverdlovsk Oblast;69247
2019-02-01;Smolensk Oblast;39528
2019-02-01;Stavropol Krai;43500
2019-02-01;Tver Oblast;47311
2019-02-01;Tomsk Oblast;0
2019-02-01;Tula Oblast;50915
2019-02-01;Tyumen Oblast;70112
2019-02-01;Udmurt Republic;65034
2019-02-01;Ulyanovsk Oblast;37183
2019-02-01;Khabarovsk Krai;70000
2019-02-01;Khanty-Mansi Autonomous Okrug–Yugra;78192
2019-02-01;Chelyabinsk Oblast;42672
2019-02-01;Chuvash Republic — Chuvashia;39255
2019-02-01;Yamalo-Nenets Autonomous Okrug;90000
2019-02-01;Yaroslavl Oblast;57053
2019-03-01;Russia;75250
2019-03-01;Altai Republic;0
2019-03-01;Altai Krai;40000
2019-03-01;Amur Oblast;60500
2019-03-01;Arkhangelsk Oblast;78064
2019-03-01;Bryansk Oblast;44746
2019-03-01;Vladimir Oblast;47000
2019-03-01;Volgograd Oblast;44118
2019-03-01;Vologda Oblast;46000
2019-03-01;Voronezh Oblast;46627
2019-03-01;Zabaykalsky Krai;64663
2019-03-01;Ivanovo Oblast;34500
2019-03-01;Irkutsk Oblast;49750
2019-03-01;Kaliningrad Oblast;53588
2019-03-01;Kaluga Oblast;57000
2019-03-01;Kemerovo Oblast;40813
2019-03-01;Kirov Oblast;45349
2019-03-01;Kostroma Oblast;47500
2019-03-01;Krasnodar Krai;51620
2019-03-01;Krasnoyarsk Krai;70086
2019-03-01;Kurgan Oblast;56050
2019-03-01;Kursk Oblast;30538
2019-03-01;Leningrad Oblast;90000
2019-03-01;Lipetsk Oblast;65000
2019-03-01;Republic of Mordovia;44402
2019-03-01;Moscow;202813
2019-03-01;Moscow Oblast;102900
2019-03-01;Nizhny Novgorod Oblast;61615
2019-03-01;Novgorod Oblast;44264
2019-03-01;Novosibirsk Oblast;71720
2019-03-01;Orenburg Oblast;39338
2019-03-01;Oryol Oblast;39100
2019-03-01;Penza Oblast;54001
2019-03-01;Perm Krai;55000
2019-03-01;Primorsky Krai;83980
2019-03-01;Pskov Oblast;88479
2019-03-01;Republic of Bashkortostan;57901
2019-03-01;Republic of Dagestan;0
2019-03-01;Komi Republic;47964
2019-03-01;Mari El Republic;42504
2019-03-01;Republic of Sakha (Yakutia);80750
2019-03-01;Republic of North Ossetia–Alania;0
2019-03-01;Republic of Tatarstan;69821
2019-03-01;Rostov Oblast;49122
2019-03-01;Ryazan Oblast;44470
2019-03-01;Samara Oblast;50341
2019-03-01;City of Saint Petersburg;133494
2019-03-01;Saratov Oblast;33007
2019-03-01;Sakhalin Oblast;0
2019-03-01;Sverdlovsk Oblast;72891
2019-03-01;Smolensk Oblast;43153
2019-03-01;Stavropol Krai;39092
2019-03-01;Tambov Oblast;73947
2019-03-01;Tver Oblast;45523
2019-03-01;Tomsk Oblast;0
2019-03-01;Tula Oblast;55472
2019-03-01;Tyumen Oblast;64200
2019-03-01;Udmurt Republic;67812
2019-03-01;Ulyanovsk Oblast;37700
2019-03-01;Khabarovsk Krai;76337
2019-03-01;Khanty-Mansi Autonomous Okrug–Yugra;84275
2019-03-01;Chelyabinsk Oblast;38718
2019-03-01;Chuvash Republic — Chuvashia;37500
2019-03-01;Yaroslavl Oblast;69100
2019-04-01;Russia;79550
2019-04-01;Altai Republic;0
2019-04-01;Altai Krai;43089
2019-04-01;Amur Oblast;0
2019-04-01;Arkhangelsk Oblast;79749
2019-04-01;Astrakhan Oblast;54244
2019-04-01;Belgorod Oblast;47524
2019-04-01;Bryansk Oblast;38996
2019-04-01;Vladimir Oblast;39750
2019-04-01;Volgograd Oblast;41663
2019-04-01;Vologda Oblast;43689
2019-04-01;Voronezh Oblast;51821
2019-04-01;Zabaykalsky Krai;67500
2019-04-01;Ivanovo Oblast;38598
2019-04-01;Irkutsk Oblast;50541
2019-04-01;Kaliningrad Oblast;53341
2019-04-01;Kaluga Oblast;61485
2019-04-01;Kemerovo Oblast;41760
2019-04-01;Kirov Oblast;36738
2019-04-01;Krasnodar Krai;47832
2019-04-01;Krasnoyarsk Krai;68773
2019-04-01;Kurgan Oblast;46219
2019-04-01;Leningrad Oblast;90996
2019-04-01;Lipetsk Oblast;65250
2019-04-01;Republic of Mordovia;47756
2019-04-01;Moscow;196155
2019-04-01;Moscow Oblast;98697
2019-04-01;Nizhny Novgorod Oblast;66638
2019-04-01;Novgorod Oblast;45209
2019-04-01;Novosibirsk Oblast;70110
2019-04-01;Orenburg Oblast;43525
2019-04-01;Oryol Oblast;39522
2019-04-01;Penza Oblast;52000
2019-04-01;Perm Krai;52549
2019-04-01;Primorsky Krai;75223
