Date;Region;Value
2019-01-01;Russia;56250
2019-01-01;Republic of Adygea;42326
2019-01-01;Altai Republic;44593
2019-01-01;Altai Krai;47975
2019-01-01;Amur Oblast;63821
2019-01-01;Arkhangelsk Oblast;43689
2019-01-01;Astrakhan Oblast;37586
2019-01-01;Belgorod Oblast;52470
2019-01-01;Bryansk Oblast;35823
2019-01-01;Vladimir Oblast;35326
2019-01-01;Volgograd Oblast;43833
2019-01-01;Vologda Oblast;41096
2019-01-01;Voronezh Oblast;46132
2019-01-01;Jewish Autonomous Oblast;40268
2019-01-01;Zabaykalsky Krai;46437
2019-01-01;Ivanovo Oblast;42000
2019-01-01;Irkutsk Oblast;41435
2019-01-01;Kabardino-Balkarian Republic;35614
2019-01-01;Kaliningrad Oblast;53333
2019-01-01;Kaluga Oblast;55725
2019-01-01;Kamchatka Krai;59395
2019-01-01;Kemerovo Oblast;38693
2019-01-01;Kirov Oblast;42357
2019-01-01;Kostroma Oblast;44656
2019-01-01;Krasnodar Krai;65061
2019-01-01;Krasnoyarsk Krai;50973
2019-01-01;Kurgan Oblast;36741
2019-01-01;Kursk Oblast;44845
2019-01-01;Leningrad Oblast;67724
2019-01-01;Lipetsk Oblast;43160
2019-01-01;Magadan Oblast;51982
2019-01-01;Republic of Mordovia;42857
2019-01-01;Moscow;167774
2019-01-01;Moscow Oblast;82366
2019-01-01;Murmansk Oblast;42553
2019-01-01;Nizhny Novgorod Oblast;44737
2019-01-01;Novgorod Oblast;41051
2019-01-01;Novosibirsk Oblast;66667
2019-01-01;Omsk Oblast;43791
2019-01-01;Orenburg Oblast;41985
2019-01-01;Oryol Oblast;42645
2019-01-01;Penza Oblast;45261
2019-01-01;Perm Krai;43640
2019-01-01;Primorsky Krai;74882
2019-01-01;Pskov Oblast;38095
2019-01-01;Republic of Bashkortostan;55435
2019-01-01;Republic of Buryatia;48057
2019-01-01;Republic of Dagestan;40000
2019-01-01;Republic of Kalmykia;30539
2019-01-01;Karachay-Cherkess Republic;44621
2019-01-01;Republic of Karelia;44766
2019-01-01;Komi Republic;49826
2019-01-01;Mari El Republic;37135
2019-01-01;Republic of Sakha (Yakutia);69700
2019-01-01;Republic of North Ossetia–Alania;36800
2019-01-01;Republic of Tatarstan;49123
2019-01-01;Republic of Tuva;58997
2019-01-01;Republic of Khakassia;37503
2019-01-01;Rostov Oblast;59459
2019-01-01;Ryazan Oblast;43179
2019-01-01;Samara Oblast;47727
2019-01-01;City of Saint Petersburg;105714
2019-01-01;Saratov Oblast;39063
2019-01-01;Sakhalin Oblast;110714
2019-01-01;Sverdlovsk Oblast;44974
2019-01-01;Smolensk Oblast;39950
2019-01-01;Stavropol Krai;46357
2019-01-01;Tambov Oblast;43149
2019-01-01;Tver Oblast;46584
2019-01-01;Tomsk Oblast;54598
2019-01-01;Tula Oblast;55046
2019-01-01;Tyumen Oblast;63235
2019-01-01;Udmurt Republic;43551
2019-01-01;Ulyanovsk Oblast;37753
2019-01-01;Khabarovsk Krai;56674
2019-01-01;Khanty-Mansi Autonomous Okrug–Yugra;73152
2019-01-01;Chelyabinsk Oblast;34242
2019-01-01;Chuvash Republic — Chuvashia;41306
2019-01-01;Chukotka Autonomous Okrug;106635
2019-01-01;Yamalo-Nenets Autonomous Okrug;80792
2019-01-01;Yaroslavl Oblast;46257
2019-02-01;Russia;63061
2019-02-01;Republic of Adygea;42528
2019-02-01;Altai Republic;44722
2019-02-01;Altai Krai;41089
2019-02-01;Amur Oblast;67857
2019-02-01;Arkhangelsk Oblast;43533
2019-02-01;Astrakhan Oblast;39468
2019-02-01;Belgorod Oblast;55280
2019-02-01;Bryansk Oblast;36130
2019-02-01;Vladimir Oblast;35000
2019-02-01;Volgograd Oblast;43269
2019-02-01;Vologda Oblast;40992
2019-02-01;Voronezh Oblast;40984
2019-02-01;Jewish Autonomous Oblast;39635
2019-02-01;Zabaykalsky Krai;43118
2019-02-01;Ivanovo Oblast;39757
2019-02-01;Irkutsk Oblast;37209
2019-02-01;Kabardino-Balkarian Republic;37987
2019-02-01;Kaliningrad Oblast;53473
2019-02-01;Kaluga Oblast;56000
2019-02-01;Kamchatka Krai;62877
2019-02-01;Kemerovo Oblast;41667
2019-02-01;Kirov Oblast;40000
2019-02-01;Kostroma Oblast;44131
2019-02-01;Krasnodar Krai;67072
2019-02-01;Krasnoyarsk Krai;57143
2019-02-01;Kurgan Oblast;35855
2019-02-01;Kursk Oblast;39130
2019-02-01;Leningrad Oblast;78091
2019-02-01;Lipetsk Oblast;44444
2019-02-01;Magadan Oblast;50523
2019-02-01;Republic of Mordovia;39394
2019-02-01;Moscow;205063
2019-02-01;Moscow Oblast;82974
2019-02-01;Murmansk Oblast;49983
2019-02-01;Nenets Autonomous Okrug;75446
2019-02-01;Nizhny Novgorod Oblast;60000
2019-02-01;Novgorod Oblast;41524
2019-02-01;Novosibirsk Oblast;67188
2019-02-01;Omsk Oblast;43635
2019-02-01;Orenburg Oblast;40652
2019-02-01;Oryol Oblast;43373
2019-02-01;Penza Oblast;45142
2019-02-01;Perm Krai;45948
2019-02-01;Primorsky Krai;81967
2019-02-01;Pskov Oblast;37800
2019-02-01;Republic of Bashkortostan;56003
2019-02-01;Republic of Buryatia;50830
2019-02-01;Republic of Dagestan;50485
2019-02-01;Republic of Kalmykia;33333
2019-02-01;Karachay-Cherkess Republic;41120
2019-02-01;Republic of Karelia;44991
2019-02-01;Komi Republic;51887
2019-02-01;Mari El Republic;35227
2019-02-01;Republic of Sakha (Yakutia);83333
2019-02-01;Republic of North Ossetia–Alania;37500
2019-02-01;Republic of Tatarstan;68486
2019-02-01;Republic of Tuva;61213
2019-02-01;Republic of Khakassia;41984
2019-02-01;Rostov Oblast;56716
2019-02-01;Ryazan Oblast;43636
2019-02-01;Samara Oblast;47297
2019-02-01;City of Saint Petersburg;115686
2019-02-01;Saratov Oblast;38627
2019-02-01;Sakhalin Oblast;106667
2019-02-01;Sverdlovsk Oblast;45000
2019-02-01;Smolensk Oblast;40000
2019-02-01;Stavropol Krai;36240
2019-02-01;Tambov Oblast;41176
2019-02-01;Tver Oblast;48000
2019-02-01;Tomsk Oblast;53947
2019-02-01;Tula Oblast;53803
2019-02-01;Tyumen Oblast;62414
2019-02-01;Udmurt Republic;45455
2019-02-01;Ulyanovsk Oblast;37727
2019-02-01;Khabarovsk Krai;69403
2019-02-01;Khanty-Mansi Autonomous Okrug–Yugra;74074
2019-02-01;Chelyabinsk Oblast;37358
2019-02-01;Chechen Republic;95415
2019-02-01;Chuvash Republic — Chuvashia;39753
2019-02-01;Chukotka Autonomous Okrug;110438
