Дата;Регион;Значение
2019-01-01;Россия;56250
2019-01-01;Адыгея;42326
2019-01-01;Алтай;44593
2019-01-01;Алтайский край;47975
2019-01-01;Амурская область;63821
2019-01-01;Архангельская область;43689
2019-01-01;Астраханская область;37586
2019-01-01;Белгородская область;52470
2019-01-01;Брянская область;35823
2019-01-01;Владимирская область;35326
2019-01-01;Волгоградская область;43833
2019-01-01;Вологодская область;41096
2019-01-01;Воронежская область;46132
2019-01-01;Еврейская автономная область;40268
2019-01-01;Забайкальский край;46437
2019-01-01;Ивановская область;42000
2019-01-01;Иркутская область;41435
2019-01-01;Кабардино-Балкарская Республика;35614
2019-01-01;Калининградская область;53333
2019-01-01;Калужская область;55725
2019-01-01;Камчатский край;59395
2019-01-01;Кемеровская область;38693
2019-01-01;Кировская область;42357
2019-01-01;Костромская область;44656
2019-01-01;Краснодарский край;65061
2019-01-01;Красноярский край;50973
2019-01-01;Курганская область;36741
2019-01-01;Курская область;44845
2019-01-01;Ленинградская область;67724
2019-01-01;Липецкая область;43160
2019-01-01;Магаданская область;51982
2019-01-01;Мордовия;42857
2019-01-01;Москва;167774
2019-01-01;Московская область;82366
2019-01-01;Мурманская область;42553
2019-01-01;Нижегородская область;44737
2019-01-01;Новгородская область;41051
2019-01-01;Новосибирская область;66667
2019-01-01;Омская область;43791
2019-01-01;Оренбургская область;41985
2019-01-01;Орловская область;42645
2019-01-01;Пензенская область;45261
2019-01-01;Пермский край;43640
2019-01-01;Приморский край;74882
2019-01-01;Псковская область;38095
2019-01-01;Республика Башкортостан;55435
2019-01-01;Республика Бурятия;48057
2019-01-01;Республика Дагестан;40000
2019-01-01;Республика Калмыкия;30539
2019-01-01;Республика Карачаево-Черкессия;44621
2019-01-01;Республика Карелия;44766
2019-01-01;Республика Коми;49826
2019-01-01;Республика Марий Эл;37135
2019-01-01;Республика Саха (Якутия);69700
2019-01-01;Республика Северная Осетия-Алания;36800
2019-01-01;Республика Татарстан;49123
2019-01-01;Республика Тыва;58997
2019-01-01;Республика Хакасия;37503
2019-01-01;Ростовская область;59459
2019-01-01;Рязанская область;43179
2019-01-01;Самарская область;47727
2019-01-01;Санкт-Петербург;105714
2019-01-01;Саратовская область;39063
2019-01-01;Сахалинская область;110714
2019-01-01;Свердловская область;44974
