date;region;value
2023-05-01;Свердловская область;126453
2023-05-01;Саратовская область;75543.4
2023-05-01;Краснодарский край;137895
2023-05-01;Республика Татарстан;164229
2023-05-01;Нижегородская область;141938
2023-05-01;Амурская область;135281
2023-05-01;Московская область;179820
2023-05-01;Новгородская область;87549.6
2023-05-01;Республика Марий Эл;74000
2023-05-01;Сахалинская область;158714
2023-05-01;Оренбургская область;65273.4
2023-05-01;Астраханская область;111909
2023-05-01;Республика Хакасия;80440.4
2023-05-01;Красноярский край;115757
2023-05-01;Ивановская область;81853
2023-05-01;Рязанская область;96168.7
2023-05-01;Калининградская область;117925
2023-05-01;Республика Дагестан;120993
2023-05-01;Пензенская область;81343.1
2023-05-01;Кемеровская область;86750
2023-05-01;Волгоградская область;85050.7
2023-05-01;Томская область;115309
2023-05-01;Брянская область;88917.3
2023-05-01;Вологодская область;86033.3
2023-05-01;Белгородская область;90761.5
2023-05-01;Курганская область;64283.2
2023-05-01;Кировская область;84750
2023-05-01;Республика Мордовия;75000
2023-05-01;Пермский край;117425
2023-05-01;Ростовская область;103005
2023-05-01;Самарская область;93166.2
2023-05-01;Республика Северная Осетия — Алания;69500
2023-05-01;Тамбовская область;73370.4
2023-05-01;Республика Тыва;148500
2023-05-01;Ульяновская область;79555.2
2023-05-01;Республика Коми;74953.3
2023-05-01;Республика Алтай;117500
2023-05-01;Воронежская область;95977
2023-05-01;Ярославская область;92989.8
2023-05-01;Владимирская область;79145.6
2023-05-01;Удмуртская Республика;89256.1
2023-05-01;Республика Саха (Якутия);171304
2023-05-01;Алтайский край;94910.3
2023-05-01;Санкт-Петербург;247216
2023-05-01;Республика Бурятия;90375
2023-05-01;Ханты-Мансийский автономный округ — Югра;108000
2023-05-01;Костромская область;74592
2023-05-01;Тюменская область;117665
2023-05-01;Чувашская Республика;106374
2023-05-01;Москва;329207
2023-05-01;Забайкальский край;140667
2023-05-01;Республика Карелия;126955
2023-05-01;Смоленская область;65442.7
2023-05-01;Камчатский край;158049
2023-05-01;Тульская область;93977.7
2023-05-01;Приморский край;154762
2023-05-01;Челябинская область;77446.4
2023-05-01;Республика Башкортостан;114250
2023-05-01;Калужская область;115400
2023-05-01;Новосибирская область;128549
2023-05-01;Орловская область;80876.2
2023-05-01;Архангельская область;119649
2023-05-01;Псковская область;69882.7
2023-05-01;Омская область;115446
2023-05-01;Хабаровский край;132974
2023-05-01;Россия;128587
2023-05-01;Ставропольский край;92490.1
2023-05-01;Тверская область;85571.4
2023-05-01;Ленинградская область;138532
2023-05-01;Республика Адыгея;105404
2023-05-01;Иркутская область;117244
2023-05-01;Курская область;80847.8
2023-05-01;Липецкая область;85789.1
2023-04-01;Иркутская область;110966
2023-04-01;Забайкальский край;143378
2023-04-01;Республика Адыгея;112000
2023-04-01;Липецкая область;87069.3
2023-04-01;Ульяновская область;82438.7
2023-04-01;Орловская область;78000
2023-04-01;Республика Татарстан;169129
2023-04-01;Саратовская область;70877
2023-04-01;Новосибирская область;131817
2023-04-01;Смоленская область;70837.9
2023-04-01;Краснодарский край;130025
2023-04-01;Удмуртская Республика;87422.6
2023-04-01;Свердловская область;123386
2023-04-01;Тверская область;88057.6
2023-04-01;Амурская область;135000
