date;region;value
2023-03-01;Краснодарский край;156626
2023-03-01;Курская область;77631.6
2023-03-01;Липецкая область;75435.2
2023-03-01;Москва;275510
2023-03-01;Республика Дагестан;88157.9
2023-03-01;Сахалинская область;147265
2023-02-01;Республика Мордовия;70365.4
2023-02-01;Вологодская область;73743.7
2023-02-01;Удмуртская Республика;73694.7
2023-02-01;Республика Татарстан;99523.8
2023-02-01;Пермский край;74162.7
2023-02-01;Смоленская область;61416
2023-02-01;Забайкальский край;105973
2023-02-01;Чукотский автономный округ;110500
2023-02-01;Пензенская область;79310.3
2023-02-01;Камчатский край;127586
2023-02-01;Оренбургская область;59954.8
2023-02-01;Карачаево-Черкесская Республика;86651.6
2023-02-01;Псковская область;69622.6
2023-02-01;Россия;98893
2023-02-01;Магаданская область;113060
2023-02-01;Республика Адыгея;86303.9
2023-02-01;Ненецкий автономный округ;85092.4
2023-02-01;Республика Башкортостан;75213.7
2023-02-01;Московская область;153659
2023-02-01;Иркутская область;76496.7
2023-02-01;Архангельская область;90384.6
2023-02-01;Саратовская область;69411.8
2023-02-01;Ярославская область;76871.2
2023-02-01;Еврейская автономная область;71527.8
2023-02-01;Волгоградская область;75290.5
2023-02-01;Нижегородская область;101075
2023-02-01;Кемеровская область;80752.2
2023-02-01;Республика Алтай;104167
2023-02-01;Республика Ингушетия;46762.6
2023-02-01;Республика Саха (Якутия);123156
2023-02-01;Республика Коми;76576.6
2023-02-01;Свердловская область;92459.4
2023-02-01;Кабардино-Балкарская Республика;69018.8
2023-02-01;Республика Марий Эл;68000
2023-02-01;Калужская область;92843.3
2023-02-01;Хабаровский край;90125.4
2023-02-01;Республика Северная Осетия — Алания;71969.7
2023-02-01;Ленинградская область;136170
2023-02-01;Краснодарский край;127764
2023-02-01;Курская область;75916.9
2023-02-01;Липецкая область;74454.5
2023-02-01;Сахалинская область;147619
2023-02-01;Тверская область;83677.7
2023-02-01;Костромская область;77738.5
2023-02-01;Республика Бурятия;102218
2023-02-01;Ставропольский край;91666.7
2023-02-01;Чеченская Республика;71428.6
2023-02-01;Астраханская область;70000
2023-02-01;Орловская область;71133.7
2023-02-01;Республика Карелия;88818.2
2023-02-01;Приморский край;123404
2023-02-01;Республика Хакасия;85043.9
2023-02-01;Новосибирская область;105882
2023-02-01;Тамбовская область;81191
2023-02-01;Тульская область;85915.5
2023-02-01;Курганская область;60177.3
2023-02-01;Омская область;85672.1
2023-02-01;Республика Дагестан;86680.1
2023-02-01;Москва;275281
2023-02-01;Чувашская Республика;80281.7
2023-02-01;Красноярский край;93142.9
2023-02-01;Тюменская область;106780
2023-02-01;Алтайский край;85978.5
2023-02-01;Амурская область;135000
2023-02-01;Ханты-Мансийский автономный округ — Югра;100258
2023-02-01;Республика Калмыкия;67857.1
2023-02-01;Челябинская область;61111.1
2023-02-01;Санкт-Петербург;188425
2023-02-01;Томская область;98425.2
2023-02-01;Ульяновская область;70270.3
2023-02-01;Владимирская область;73333.3
2023-02-01;Ростовская область;93333.3
2023-02-01;Воронежская область;88205.1
2023-02-01;Мурманская область;78125
2023-02-01;Самарская область;82458.8
2023-02-01;Республика Тыва;125728
2023-02-01;Новгородская область;70758.2
2023-02-01;Рязанская область;79226.6
2023-02-01;Кировская область;75333.3
2023-02-01;Брянская область;67605.6
2023-02-01;Белгородская область;83728.8
2023-02-01;Ивановская область;72704.5
2023-02-01;Калининградская область;107411
2023-02-01;Ямало-Ненецкий автономный округ;124135
2023-01-01;Курганская область;59006.2
2023-01-01;Республика Дагестан;80357.1
2023-01-01;Тверская область;78523.4
2023-01-01;Москва;270423
2023-01-01;Республика Мордовия;71666.7
2023-01-01;Липецкая область;72916.7
2023-01-01;Курская область;75178.4
2023-01-01;Краснодарский край;123340
2023-01-01;Республика Ингушетия;46105.9
2023-01-01;Брянская область;68088.7
2023-01-01;Чувашская Республика;79304.6
2023-01-01;Ленинградская область;136364
2023-01-01;Красноярский край;94061.7
2023-01-01;Республика Северная Осетия — Алания;70833.3
2023-01-01;Тюменская область;105742
2023-01-01;Хабаровский край;88762.2
2023-01-01;Калужская область;93974.4
2023-01-01;Республика Марий Эл;67484.9
2023-01-01;Белгородская область;81767.1
2023-01-01;Алтайский край;85087.9
2023-01-01;Амурская область;133333
2023-01-01;Кабардино-Балкарская Республика;70000
2023-01-01;Свердловская область;107068
2023-01-01;Республика Коми;75833.3
2023-01-01;Ханты-Мансийский автономный округ — Югра;101471
2023-01-01;Республика Калмыкия;66666.7
2023-01-01;Пермский край;75188
2023-01-01;Республика Саха (Якутия);124736
2023-01-01;Республика Алтай;112118
2023-01-01;Челябинская область;61618.2
2023-01-01;Кемеровская область;77777.8
2023-01-01;Нижегородская область;100000
2023-01-01;Еврейская автономная область;62815.1
2023-01-01;Санкт-Петербург;189921
2023-01-01;Волгоградская область;73869.6
2023-01-01;Ярославская область;77215.2
2023-01-01;Саратовская область;69185.8
2023-01-01;Удмуртская Республика;78576.6
2023-01-01;Томская область;95975.2
2023-01-01;Ульяновская область;68000
2023-01-01;Владимирская область;75000
2023-01-01;Ямало-Ненецкий автономный округ;132231
2023-01-01;Архангельская область;91892
2023-01-01;Иркутская область;77777.8
2023-01-01;Московская область;161905
2023-01-01;Республика Башкортостан;71750
2023-01-01;Ивановская область;72727.3
2023-01-01;Ростовская область;89005.2
2023-01-01;Воронежская область;86345
2023-01-01;Республика Адыгея;89514.1
2023-01-01;Ненецкий автономный округ;87984
2023-01-01;Магаданская область;112362
2023-01-01;Мурманская область;75000
2023-01-01;Самарская область;82312.9
2023-01-01;Калининградская область;110193
2023-01-01;Россия;100000
2023-01-01;Карачаево-Черкесская Республика;80000
2023-01-01;Республика Тыва;125748
2023-01-01;Оренбургская область;57021.5
2023-01-01;Камчатский край;126459
2023-01-01;Республика Татарстан;98762.4
2023-01-01;Новгородская область;72054.7
2023-01-01;Пензенская область;79696.4
2023-01-01;Псковская область;67382.8
2023-01-01;Рязанская область;80638.3
2023-01-01;Чеченская Республика;67114.1
2023-01-01;Кировская область;73232.3
2023-01-01;Республика Карелия;87813
2023-01-01;Орловская область;71583.5
2023-01-01;Вологодская область;71831
2023-01-01;Республика Хакасия;80459.8
2023-01-01;Приморский край;121606
2023-01-01;Новосибирская область;107258
2023-01-01;Чукотский автономный округ;154162
2023-01-01;Астраханская область;64472.8
2023-01-01;Ставропольский край;90617.3
2023-01-01;Тамбовская область;79674.3
2023-01-01;Тульская область;84699.5
2023-01-01;Республика Бурятия;101626
2023-01-01;Костромская область;75000
2023-01-01;Омская область;83000
2023-01-01;Сахалинская область;143182
2023-01-01;Забайкальский край;107914
2023-01-01;Смоленская область;62187.5
2022-12-01;Тульская область;84223.1
2022-12-01;Республика Дагестан;82500
2022-12-01;Новгородская область;71633.2
2022-12-01;Смоленская область;58619.9
2022-12-01;Костромская область;75400
2022-12-01;Тверская область;80516.3
2022-12-01;Липецкая область;75329.6
2022-12-01;Курганская область;56983.8
2022-12-01;Москва;270378
2022-12-01;Орловская область;70967.7
2022-12-01;Иркутская область;73836.6
2022-12-01;Московская область;158871
2022-12-01;Чеченская Республика;68259.4
2022-12-01;Курская область;74957.4
2022-12-01;Краснодарский край;126000
2022-12-01;Вологодская область;70762
2022-12-01;Ставропольский край;89423.1
2022-12-01;Рязанская область;76022.1
2022-12-01;Ростовская область;89590.4
2022-12-01;Чувашская Республика;78283.5
2022-12-01;Воронежская область;83941.6
2022-12-01;Ленинградская область;142857
2022-12-01;Республика Северная Осетия — Алания;70042.7
2022-12-01;Брянская область;66666.7
2022-12-01;Забайкальский край;103555
2022-12-01;Красноярский край;93103.4
2022-12-01;Ивановская область;71654.2
2022-12-01;Тюменская область;104617
2022-12-01;Республика Башкортостан;75000
2022-12-01;Белгородская область;83146.1
2022-12-01;Республика Адыгея;91973.1
2022-12-01;Хабаровский край;92857.1
2022-12-01;Калужская область;90885.4
2022-12-01;Кировская область;72796
2022-12-01;Республика Марий Эл;64912.3
2022-12-01;Ненецкий автономный округ;79178.9
2022-12-01;Астраханская область;66363.6
2022-12-01;Республика Ингушетия;47153.7
2022-12-01;Алтайский край;83131
2022-12-01;Амурская область;134783
2022-12-01;Калининградская область;107143
2022-12-01;Республика Мордовия;68852.5
2022-12-01;Свердловская область;102048
2022-12-01;Самарская область;83479.8
2022-12-01;Республика Коми;66886.6
2022-12-01;Пермский край;73680.1
2022-12-01;Сахалинская область;151140
2022-12-01;Ханты-Мансийский автономный округ — Югра;102326
2022-12-01;Республика Калмыкия;65909.8
2022-12-01;Чукотский автономный округ;131034
2022-12-01;Магаданская область;111359
2022-12-01;Республика Саха (Якутия);122222
2022-12-01;Республика Бурятия;100330
2022-12-01;Россия;99125.4
2022-12-01;Республика Алтай;112094
2022-12-01;Челябинская область;59767.4
2022-12-01;Республика Хакасия;81936.1
2022-12-01;Псковская область;69000
2022-12-01;Кемеровская область;77894.3
2022-12-01;Карачаево-Черкесская Республика;86363.6
2022-12-01;Республика Тыва;123783
2022-12-01;Нижегородская область;101956
2022-12-01;Еврейская автономная область;67441.9
2022-12-01;Омская область;82191.8
2022-12-01;Санкт-Петербург;188566
2022-12-01;Ямало-Ненецкий автономный округ;120000
2022-12-01;Удмуртская Республика;68906.3
2022-12-01;Волгоградская область;72948.7
2022-12-01;Оренбургская область;60635.7
2022-12-01;Тамбовская область;74547.8
2022-12-01;Ярославская область;77230.4
2022-12-01;Приморский край;118000
2022-12-01;Саратовская область;66459.4
2022-12-01;Камчатский край;127016
2022-12-01;Пензенская область;78115.1
2022-12-01;Томская область;96990.8
2022-12-01;Архангельская область;88364
2022-12-01;Республика Татарстан;103320
2022-12-01;Новосибирская область;108558
2022-12-01;Ульяновская область;70680.6
2022-12-01;Владимирская область;76334
2022-11-01;Омская область;82957.3
2022-11-01;Удмуртская Республика;71428.6
2022-11-01;Чеченская Республика;68665.3
2022-11-01;Россия;100000
2022-11-01;Ненецкий автономный округ;80855
2022-11-01;Ярославская область;76744.2
2022-11-01;Волгоградская область;71536
2022-11-01;Кабардино-Балкарская Республика;64482.6
2022-11-01;Республика Марий Эл;64189.4
