date,region,value
2023-02-01,Волгоградская область,83
2023-02-01,Республика Ингушетия,25
2023-02-01,Республика Мордовия,63
2023-02-01,Республика Марий Эл,81
2023-02-01,Сахалинская область,118
2023-02-01,Республика Хакасия,69
2023-02-01,Новгородская область,59
2023-02-01,Красноярский край,52
2023-02-01,Калужская область,73
2023-02-01,Томская область,85
2023-02-01,Рязанская область,70
2023-02-01,Вологодская область,71
2023-02-01,Ямало-Ненецкий автономный округ,72
2023-02-01,Республика Саха (Якутия),63
2023-02-01,Калининградская область,73
2023-02-01,Белгородская область,86
2023-02-01,Кировская область,64
2023-02-01,Самарская область,64
2023-02-01,Воронежская область,69
2023-02-01,Владимирская область,78
2023-02-01,Санкт-Петербург,84
2023-02-01,Республика Калмыкия,53
2023-02-01,Амурская область,93
2023-02-01,Тюменская область,125
2023-02-01,Москва,75
2023-02-01,Тульская область,71
2023-02-01,Новосибирская область,83
2023-02-01,Чукотский автономный округ,78
2023-02-01,Республика Карелия,50
2023-02-01,Чеченская Республика,62
2023-02-01,Псковская область,77
2023-02-01,Брянская область,76
2023-02-01,Чувашская Республика,69
2023-02-01,Орловская область,79
2023-02-01,Республика Бурятия,83
2023-02-01,Тверская область,66
2023-02-01,Кемеровская область,75
2023-02-01,Еврейская автономная область,70
2023-02-01,Омская область,67
2023-02-01,Курская область,67
2023-02-01,Ленинградская область,77
2023-02-01,Хабаровский край,75
2023-02-01,Свердловская область,64
2023-02-01,Республика Коми,91
2023-02-01,Республика Алтай,93
2023-02-01,Нижегородская область,75
2023-02-01,Саратовская область,57
2023-02-01,Краснодарский край,75
2023-02-01,Иркутская область,66
2023-02-01,Челябинская область,59
2023-02-01,Забайкальский край,69
2023-02-01,Карачаево-Черкесская Республика,40
2023-02-01,Оренбургская область,51
2023-02-01,Пензенская область,78
2023-02-01,Республика Адыгея,52
2023-02-01,Ханты-Мансийский автономный округ — Югра,81
2023-02-01,Ростовская область,38
2023-02-01,Республика Тыва,64
2023-02-01,Приморский край,75
2023-02-01,Удмуртская Республика,58
2023-02-01,Ставропольский край,46
2023-02-01,Алтайский край,54
2023-02-01,Липецкая область,55
2023-02-01,Ярославская область,69
2023-02-01,Ненецкий автономный округ,87
2023-02-01,Ивановская область,54
2023-02-01,Ульяновская область,74
2023-02-01,Республика Башкортостан,60
2023-02-01,Астраханская область,61
2023-02-01,Костромская область,69
2023-02-01,Тамбовская область,81
2023-02-01,Республика Татарстан,66
2023-02-01,Магаданская область,61
2023-02-01,Кабардино-Балкарская Республика,47
2023-02-01,Республика Дагестан,30
2023-02-01,Смоленская область,80
2023-02-01,Курганская область,59
2023-02-01,Архангельская область,62
2023-02-01,Пермский край,55
2023-02-01,Московская область,75
2023-02-01,Республика Северная Осетия — Алания,35
2023-02-01,Камчатский край,65
2023-02-01,Мурманская область,74
2023-02-01,Россия,69
2023-01-01,Волгоградская область,87
2023-01-01,Республика Ингушетия,16
2023-01-01,Республика Мордовия,61
2023-01-01,Республика Марий Эл,74
2023-01-01,Сахалинская область,83
2023-01-01,Республика Хакасия,69
2023-01-01,Новгородская область,64
2023-01-01,Красноярский край,58
2023-01-01,Калужская область,68
2023-01-01,Томская область,87
2023-01-01,Рязанская область,73
2023-01-01,Вологодская область,66
2023-01-01,Ямало-Ненецкий автономный округ,72
2023-01-01,Республика Саха (Якутия),62
2023-01-01,Калининградская область,82
2023-01-01,Белгородская область,66
2023-01-01,Кировская область,61
2023-01-01,Самарская область,63
2023-01-01,Воронежская область,81
2023-01-01,Владимирская область,78
2023-01-01,Санкт-Петербург,82
2023-01-01,Республика Калмыкия,76
2023-01-01,Амурская область,106
2023-01-01,Тюменская область,119
2023-01-01,Москва,75
2023-01-01,Тульская область,80
2023-01-01,Новосибирская область,81
2023-01-01,Чукотский автономный округ,23
2023-01-01,Республика Карелия,62
2023-01-01,Ставропольский край,53
2023-01-01,Чеченская Республика,61
2023-01-01,Псковская область,93
2023-01-01,Республика Татарстан,73
2023-01-01,Брянская область,73
2023-01-01,Чувашская Республика,79
2023-01-01,Приморский край,77
2023-01-01,Орловская область,72
2023-01-01,Республика Бурятия,82
2023-01-01,Тверская область,70
2023-01-01,Кемеровская область,69
2023-01-01,Еврейская автономная область,115
2023-01-01,Ростовская область,57
2023-01-01,Омская область,86
2023-01-01,Курская область,68
2023-01-01,Ленинградская область,77
2023-01-01,Пермский край,62
2023-01-01,Хабаровский край,80
2023-01-01,Свердловская область,78
2023-01-01,Республика Коми,104
2023-01-01,Республика Алтай,86
2023-01-01,Нижегородская область,81
2023-01-01,Саратовская область,64
2023-01-01,Краснодарский край,73
2023-01-01,Курганская область,59
2023-01-01,Республика Башкортостан,71
2023-01-01,Иркутская область,67
2023-01-01,Челябинская область,67
2023-01-01,Ивановская область,59
2023-01-01,Республика Северная Осетия — Алания,58
2023-01-01,Тамбовская область,69
2023-01-01,Республика Адыгея,97
2023-01-01,Алтайский край,53
2023-01-01,Ханты-Мансийский автономный округ — Югра,103
2023-01-01,Забайкальский край,73
2023-01-01,Ненецкий автономный округ,53
2023-01-01,Пензенская область,82
2023-01-01,Липецкая область,56
2023-01-01,Ярославская область,58
2023-01-01,Республика Дагестан,31
2023-01-01,Магаданская область,64
2023-01-01,Смоленская область,87
2023-01-01,Архангельская область,73
2023-01-01,Ульяновская область,81
2023-01-01,Московская область,83
2023-01-01,Удмуртская Республика,67
2023-01-01,Карачаево-Черкесская Республика,34
2023-01-01,Мурманская область,67
2023-01-01,Камчатский край,70
2023-01-01,Республика Тыва,47
2023-01-01,Оренбургская область,62
2023-01-01,Костромская область,81
2023-01-01,Кабардино-Балкарская Республика,45
2023-01-01,Астраханская область,72
2023-01-01,Россия,74
2022-12-01,Волгоградская область,77
2022-12-01,Республика Ингушетия,19
2022-12-01,Республика Мордовия,65
2022-12-01,Республика Марий Эл,50
2022-12-01,Сахалинская область,111
2022-12-01,Республика Хакасия,78
2022-12-01,Новгородская область,58
2022-12-01,Красноярский край,53
2022-12-01,Калужская область,76
2022-12-01,Томская область,68
2022-12-01,Рязанская область,73
2022-12-01,Вологодская область,69
2022-12-01,Ямало-Ненецкий автономный округ,65
2022-12-01,Республика Саха (Якутия),65
2022-12-01,Калининградская область,74
2022-12-01,Белгородская область,66
2022-12-01,Кировская область,62
2022-12-01,Самарская область,56
2022-12-01,Воронежская область,59
2022-12-01,Алтайский край,50
2022-12-01,Республика Дагестан,34
2022-12-01,Липецкая область,54
2022-12-01,Астраханская область,65
2022-12-01,Удмуртская Республика,59
2022-12-01,Костромская область,81
2022-12-01,Тамбовская область,86
2022-12-01,Республика Тыва,57
2022-12-01,Московская область,71
2022-12-01,Ярославская область,59
2022-12-01,Забайкальский край,63
2022-12-01,Карачаево-Черкесская Республика,26
2022-12-01,Камчатский край,49
2022-12-01,Ивановская область,55
2022-12-01,Республика Адыгея,62
2022-12-01,Ханты-Мансийский автономный округ — Югра,81
2022-12-01,Кабардино-Балкарская Республика,35
2022-12-01,Архангельская область,55
2022-12-01,Республика Северная Осетия — Алания,54
2022-12-01,Магаданская область,63
