date,region,value
2023-02-01,Volgograd Oblast,83
2023-02-01,Republic of Ingushetia,25
2023-02-01,Republic of Mordovia,63
2023-02-01,Mari El Republic,81
2023-02-01,Sakhalin Oblast,118
2023-02-01,Republic of Khakassia,69
2023-02-01,Novgorod Oblast,59
2023-02-01,Krasnoyarsk Krai,52
2023-02-01,Kaluga Oblast,73
2023-02-01,Tomsk Oblast,85
2023-02-01,Ryazan Oblast,70
2023-02-01,Vologda Oblast,71
2023-02-01,Yamalo-Nenets Autonomous Okrug,72
2023-02-01,Republic of Sakha (Yakutia),63
2023-02-01,Kaliningrad Oblast,73
2023-02-01,Belgorod Oblast,86
2023-02-01,Kirov Oblast,64
2023-02-01,Samara Oblast,64
2023-02-01,Voronezh Oblast,69
2023-02-01,Vladimir Oblast,78
2023-02-01,City of Saint Petersburg,84
2023-02-01,Republic of Kalmykia,53
2023-02-01,Amur Oblast,93
2023-02-01,Tyumen Oblast,125
2023-02-01,Moscow,75
2023-02-01,Tula Oblast,71
2023-02-01,Novosibirsk Oblast,83
2023-02-01,Chukotka Autonomous Okrug,78
2023-02-01,Republic of Karelia,50
2023-02-01,Chechen Republic,62
2023-02-01,Pskov Oblast,77
2023-02-01,Bryansk Oblast,76
2023-02-01,Chuvash Republic — Chuvashia,69
2023-02-01,Oryol Oblast,79
2023-02-01,Republic of Buryatia,83
2023-02-01,Tver Oblast,66
2023-02-01,Kemerovo Oblast,75
2023-02-01,Jewish Autonomous Oblast,70
2023-02-01,Omsk Oblast,67
2023-02-01,Kursk Oblast,67
2023-02-01,Leningrad Oblast,77
2023-02-01,Khabarovsk Krai,75
2023-02-01,Sverdlovsk Oblast,64
2023-02-01,Komi Republic,91
2023-02-01,Altai Republic,93
2023-02-01,Nizhny Novgorod Oblast,75
2023-02-01,Saratov Oblast,57
2023-02-01,Krasnodar Krai,75
2023-02-01,Irkutsk Oblast,66
2023-02-01,Chelyabinsk Oblast,59
2023-02-01,Zabaykalsky Krai,69
2023-02-01,Karachay-Cherkess Republic,40
2023-02-01,Orenburg Oblast,51
2023-02-01,Penza Oblast,78
2023-02-01,Republic of Adygea,52
2023-02-01,Khanty-Mansi Autonomous Okrug–Yugra,81
2023-02-01,Rostov Oblast,38
2023-02-01,Republic of Tuva,64
2023-02-01,Primorsky Krai,75
2023-02-01,Udmurt Republic,58
2023-02-01,Stavropol Krai,46
2023-02-01,Altai Krai,54
2023-02-01,Lipetsk Oblast,55
2023-02-01,Yaroslavl Oblast,69
2023-02-01,Nenets Autonomous Okrug,87
2023-02-01,Ivanovo Oblast,54
2023-02-01,Ulyanovsk Oblast,74
2023-02-01,Republic of Bashkortostan,60
2023-02-01,Astrakhan Oblast,61
2023-02-01,Kostroma Oblast,69
2023-02-01,Tambov Oblast,81
2023-02-01,Republic of Tatarstan,66
2023-02-01,Magadan Oblast,61
2023-02-01,Kabardino-Balkarian Republic,47
2023-02-01,Republic of Dagestan,30
2023-02-01,Smolensk Oblast,80
2023-02-01,Kurgan Oblast,59
2023-02-01,Arkhangelsk Oblast,62
2023-02-01,Perm Krai,55
2023-02-01,Moscow Oblast,75
2023-02-01,Republic of North Ossetia–Alania,35
2023-02-01,Kamchatka Krai,65
2023-02-01,Murmansk Oblast,74
2023-02-01,Russia,69
2023-01-01,Volgograd Oblast,87
2023-01-01,Republic of Ingushetia,16
2023-01-01,Republic of Mordovia,61
2023-01-01,Mari El Republic,74
2023-01-01,Sakhalin Oblast,83
2023-01-01,Republic of Khakassia,69
2023-01-01,Novgorod Oblast,64
2023-01-01,Krasnoyarsk Krai,58
2023-01-01,Kaluga Oblast,68
2023-01-01,Tomsk Oblast,87
2023-01-01,Ryazan Oblast,73
2023-01-01,Vologda Oblast,66
2023-01-01,Yamalo-Nenets Autonomous Okrug,72
2023-01-01,Republic of Sakha (Yakutia),62
2023-01-01,Kaliningrad Oblast,82
2023-01-01,Belgorod Oblast,66
2023-01-01,Kirov Oblast,61
2023-01-01,Samara Oblast,63
2023-01-01,Voronezh Oblast,81
2023-01-01,Vladimir Oblast,78
2023-01-01,City of Saint Petersburg,82
2023-01-01,Republic of Kalmykia,76
2023-01-01,Amur Oblast,106
2023-01-01,Tyumen Oblast,119
2023-01-01,Moscow,75
2023-01-01,Tula Oblast,80
2023-01-01,Novosibirsk Oblast,81
2023-01-01,Chukotka Autonomous Okrug,23
2023-01-01,Republic of Karelia,62
2023-01-01,Stavropol Krai,53
2023-01-01,Chechen Republic,61
2023-01-01,Pskov Oblast,93
2023-01-01,Republic of Tatarstan,73
2023-01-01,Bryansk Oblast,73
2023-01-01,Chuvash Republic — Chuvashia,79
2023-01-01,Primorsky Krai,77
2023-01-01,Oryol Oblast,72
2023-01-01,Republic of Buryatia,82
2023-01-01,Tver Oblast,70
2023-01-01,Kemerovo Oblast,69
2023-01-01,Jewish Autonomous Oblast,115
2023-01-01,Rostov Oblast,57
2023-01-01,Omsk Oblast,86
2023-01-01,Kursk Oblast,68
2023-01-01,Leningrad Oblast,77
2023-01-01,Perm Krai,62
2023-01-01,Khabarovsk Krai,80
2023-01-01,Sverdlovsk Oblast,78
2023-01-01,Komi Republic,104
2023-01-01,Altai Republic,86
2023-01-01,Nizhny Novgorod Oblast,81
2023-01-01,Saratov Oblast,64
2023-01-01,Krasnodar Krai,73
2023-01-01,Kurgan Oblast,59
2023-01-01,Republic of Bashkortostan,71
2023-01-01,Irkutsk Oblast,67
2023-01-01,Chelyabinsk Oblast,67
2023-01-01,Ivanovo Oblast,59
2023-01-01,Republic of North Ossetia–Alania,58
2023-01-01,Tambov Oblast,69
2023-01-01,Republic of Adygea,97
2023-01-01,Altai Krai,53
2023-01-01,Khanty-Mansi Autonomous Okrug–Yugra,103
2023-01-01,Zabaykalsky Krai,73
2023-01-01,Nenets Autonomous Okrug,53
2023-01-01,Penza Oblast,82
2023-01-01,Lipetsk Oblast,56
2023-01-01,Yaroslavl Oblast,58
2023-01-01,Republic of Dagestan,31
2023-01-01,Magadan Oblast,64
2023-01-01,Smolensk Oblast,87
2023-01-01,Arkhangelsk Oblast,73
2023-01-01,Ulyanovsk Oblast,81
2023-01-01,Moscow Oblast,83
2023-01-01,Udmurt Republic,67
2023-01-01,Karachay-Cherkess Republic,34
2023-01-01,Murmansk Oblast,67
2023-01-01,Kamchatka Krai,70
2023-01-01,Republic of Tuva,47
2023-01-01,Orenburg Oblast,62
2023-01-01,Kostroma Oblast,81
2023-01-01,Kabardino-Balkarian Republic,45
2023-01-01,Astrakhan Oblast,72
2023-01-01,Russia,74
2022-12-01,Volgograd Oblast,77
2022-12-01,Republic of Ingushetia,19
2022-12-01,Republic of Mordovia,65
2022-12-01,Mari El Republic,50
2022-12-01,Sakhalin Oblast,111
2022-12-01,Republic of Khakassia,78
2022-12-01,Novgorod Oblast,58
2022-12-01,Krasnoyarsk Krai,53
2022-12-01,Kaluga Oblast,76
2022-12-01,Tomsk Oblast,68
2022-12-01,Ryazan Oblast,73
2022-12-01,Vologda Oblast,69
2022-12-01,Yamalo-Nenets Autonomous Okrug,65
2022-12-01,Republic of Sakha (Yakutia),65
2022-12-01,Kaliningrad Oblast,74
2022-12-01,Belgorod Oblast,66
2022-12-01,Kirov Oblast,62
2022-12-01,Samara Oblast,56
2022-12-01,Voronezh Oblast,59
2022-12-01,Altai Krai,50
2022-12-01,Republic of Dagestan,34
2022-12-01,Lipetsk Oblast,54
2022-12-01,Astrakhan Oblast,65
2022-12-01,Udmurt Republic,59
2022-12-01,Kostroma Oblast,81
2022-12-01,Tambov Oblast,86
2022-12-01,Republic of Tuva,57
2022-12-01,Moscow Oblast,71
2022-12-01,Yaroslavl Oblast,59
2022-12-01,Zabaykalsky Krai,63
2022-12-01,Karachay-Cherkess Republic,26
2022-12-01,Kamchatka Krai,49
2022-12-01,Ivanovo Oblast,55
2022-12-01,Republic of Adygea,62
2022-12-01,Khanty-Mansi Autonomous Okrug–Yugra,81
2022-12-01,Kabardino-Balkarian Republic,35
2022-12-01,Arkhangelsk Oblast,55
2022-12-01,Republic of North Ossetia–Alania,54
2022-12-01,Magadan Oblast,63
2022-12-01,Orenburg Oblast,46
2022-12-01,Murmansk Oblast,68
2022-12-01,Nenets Autonomous Okrug,70
2022-12-01,Russia,64
2022-11-01,Volgograd Oblast,80
2022-11-01,Republic of Ingushetia,101
2022-11-01,Republic of Mordovia,62
2022-11-01,Mari El Republic,52
2022-11-01,Sakhalin Oblast,98
2022-11-01,Republic of Khakassia,62
2022-11-01,Novgorod Oblast,73
2022-11-01,Krasnoyarsk Krai,53
2022-11-01,Kaluga Oblast,64
2022-11-01,Tomsk Oblast,72
2022-11-01,Ryazan Oblast,66
2022-11-01,Vologda Oblast,61
2022-11-01,Yamalo-Nenets Autonomous Okrug,84
2022-11-01,Republic of Sakha (Yakutia),55
2022-11-01,Kaliningrad Oblast,70
2022-11-01,Belgorod Oblast,59
2022-11-01,Kirov Oblast,52
2022-11-01,Samara Oblast,52
2022-11-01,Voronezh Oblast,76
2022-11-01,Vladimir Oblast,80
2022-11-01,City of Saint Petersburg,64
2022-11-01,Republic of Kalmykia,48
2022-11-01,Amur Oblast,91
2022-11-01,Tyumen Oblast,106
2022-11-01,Moscow,63
2022-11-01,Tula Oblast,66
2022-11-01,Novosibirsk Oblast,74
2022-11-01,Chukotka Autonomous Okrug,145
2022-11-01,Republic of Karelia,43
2022-11-01,Ivanovo Oblast,53
2022-11-01,Stavropol Krai,47
2022-11-01,Chechen Republic,52
2022-11-01,Pskov Oblast,61
2022-11-01,Republic of Tuva,60
2022-11-01,Republic of Tatarstan,67
2022-11-01,Bryansk Oblast,64
2022-11-01,Chuvash Republic — Chuvashia,72
2022-11-01,Primorsky Krai,59
2022-11-01,Oryol Oblast,69
2022-11-01,Republic of Buryatia,80
2022-11-01,Tver Oblast,64
2022-11-01,Kemerovo Oblast,73
2022-11-01,Jewish Autonomous Oblast,91
2022-11-01,Rostov Oblast,44
2022-11-01,Irkutsk Oblast,68
2022-11-01,Omsk Oblast,68
2022-11-01,Zabaykalsky Krai,64
2022-11-01,Ulyanovsk Oblast,75
2022-11-01,Kursk Oblast,52
2022-11-01,Leningrad Oblast,64
2022-11-01,Perm Krai,57
2022-11-01,Khabarovsk Krai,67
2022-11-01,Sverdlovsk Oblast,67
2022-11-01,Komi Republic,70
2022-11-01,Altai Republic,39
2022-11-01,Nizhny Novgorod Oblast,71
2022-11-01,Saratov Oblast,57
2022-11-01,Krasnodar Krai,64
2022-11-01,Altai Krai,53
2022-11-01,Republic of Dagestan,32
2022-11-01,Nenets Autonomous Okrug,102
2022-11-01,Kurgan Oblast,70
2022-11-01,Smolensk Oblast,61
2022-11-01,Chelyabinsk Oblast,58
2022-11-01,Yaroslavl Oblast,65
2022-11-01,Kamchatka Krai,49
2022-11-01,Arkhangelsk Oblast,65
2022-11-01,Khanty-Mansi Autonomous Okrug–Yugra,89
2022-11-01,Karachay-Cherkess Republic,48
2022-11-01,Republic of Bashkortostan,61
2022-11-01,Astrakhan Oblast,56
2022-11-01,Udmurt Republic,67
2022-11-01,Penza Oblast,70
2022-11-01,Murmansk Oblast,56
2022-11-01,Republic of North Ossetia–Alania,43
2022-11-01,Tambov Oblast,67
2022-11-01,Republic of Adygea,44
2022-11-01,Kabardino-Balkarian Republic,49
2022-11-01,Magadan Oblast,81
2022-11-01,Moscow Oblast,69
2022-11-01,Orenburg Oblast,55
2022-11-01,Lipetsk Oblast,44
2022-11-01,Kostroma Oblast,79
2022-11-01,Russia,65
2022-10-01,Volgograd Oblast,67
2022-10-01,Republic of Mordovia,81
2022-10-01,Mari El Republic,58
2022-10-01,Republic of Adygea,43
2022-10-01,Sakhalin Oblast,81
2022-10-01,Republic of Khakassia,67
2022-10-01,Novgorod Oblast,45
2022-10-01,Krasnoyarsk Krai,56
2022-10-01,Kaluga Oblast,64
2022-10-01,Tomsk Oblast,65
2022-10-01,Ryazan Oblast,62
2022-10-01,Vologda Oblast,66
2022-10-01,Yamalo-Nenets Autonomous Okrug,90
2022-10-01,Kursk Oblast,57
2022-10-01,Republic of Sakha (Yakutia),55
2022-10-01,Kaliningrad Oblast,63
2022-10-01,Belgorod Oblast,59
2022-10-01,Kirov Oblast,57
2022-10-01,Samara Oblast,52
2022-10-01,Voronezh Oblast,62
2022-10-01,Vladimir Oblast,71
2022-10-01,City of Saint Petersburg,66
2022-10-01,Republic of Kalmykia,40
2022-10-01,Amur Oblast,71
2022-10-01,Tyumen Oblast,97
2022-10-01,Moscow,59
2022-10-01,Tula Oblast,59
2022-10-01,Novosibirsk Oblast,66
2022-10-01,Murmansk Oblast,59
2022-10-01,Chukotka Autonomous Okrug,132
2022-10-01,Republic of Karelia,55
2022-10-01,Ivanovo Oblast,64
2022-10-01,Stavropol Krai,37
2022-10-01,Chechen Republic,66
2022-10-01,Pskov Oblast,60
2022-10-01,Republic of Tuva,52
2022-10-01,Republic of Tatarstan,69
2022-10-01,Tambov Oblast,56
2022-10-01,Irkutsk Oblast,55
2022-10-01,Republic of North Ossetia–Alania,57
2022-10-01,Komi Republic,81
2022-10-01,Penza Oblast,72
2022-10-01,Bryansk Oblast,61
2022-10-01,Chuvash Republic — Chuvashia,75
2022-10-01,Primorsky Krai,51
2022-10-01,Oryol Oblast,62
2022-10-01,Republic of Buryatia,70
2022-10-01,Nenets Autonomous Okrug,46
2022-10-01,Tver Oblast,63
2022-10-01,Kemerovo Oblast,59
2022-10-01,Krasnodar Krai,62
2022-10-01,Magadan Oblast,102
2022-10-01,Omsk Oblast,59
2022-10-01,Altai Republic,64
2022-10-01,Republic of Bashkortostan,61
2022-10-01,Ulyanovsk Oblast,69
2022-10-01,Jewish Autonomous Oblast,48
2022-10-01,Kamchatka Krai,54
2022-10-01,Orenburg Oblast,56
2022-10-01,Moscow Oblast,66
2022-10-01,Altai Krai,49
2022-10-01,Khanty-Mansi Autonomous Okrug–Yugra,79
2022-10-01,Kabardino-Balkarian Republic,43
2022-10-01,Leningrad Oblast,66
2022-10-01,Sverdlovsk Oblast,65
2022-10-01,Lipetsk Oblast,67
2022-10-01,Republic of Dagestan,34
2022-10-01,Kostroma Oblast,85
2022-10-01,Yaroslavl Oblast,54
2022-10-01,Kurgan Oblast,64
2022-10-01,Smolensk Oblast,66
2022-10-01,Arkhangelsk Oblast,62
2022-10-01,Rostov Oblast,45
2022-10-01,Saratov Oblast,47
2022-10-01,Khabarovsk Krai,68
2022-10-01,Udmurt Republic,59
2022-10-01,Karachay-Cherkess Republic,22
2022-10-01,Astrakhan Oblast,66
2022-10-01,Nizhny Novgorod Oblast,65
2022-10-01,Chelyabinsk Oblast,59
2022-10-01,Perm Krai,53
2022-10-01,Zabaykalsky Krai,62
2022-10-01,Russia,63
2022-09-01,Krasnodar Krai,12
2022-09-01,Moscow Oblast,139
